filename	type	group	caption	size_bytes	sha256
20260701_115203(1).jpg	image	1. 수리 전 실내기·배관 점검	유니트쿨러 측면, 팽창밸브 및 냉매 배관	273104	a5c47c3adee4c827fb34a9973e255adc6aa4578e6b067a49a157634020b40096
20260701_115206(1).jpg	image	1. 수리 전 실내기·배관 점검	배수 호스와 벽체 관통부	241011	115390d5474e4c193ac1a321a479069a655bc987177003945015c0f1d0146c78
20260701_115210(1).jpg	image	1. 수리 전 실내기·배관 점검	동화윈 유니트쿨러 전면 및 팬	434768	3142642621fae0b2de3d07b5e293d3dc6fe1d473a33e43646761a4a81fa60841
20260701_115213(1).jpg	image	1. 수리 전 실내기·배관 점검	유니트쿨러 명판: DUS-040E / R-22	398741	ea55b4ffb9b6bda0a4d0ecd4f4ebe5af27f8bb58a7b1b31c68fe46ba907e2298
20260701_115217(1).jpg	image	1. 수리 전 실내기·배관 점검	유니트쿨러 전면 전체	407122	e876fe48f337d16f0691a726a2d6092d30090b7791e4912014a74a4bc2c62b65
20260701_115220(1).jpg	image	1. 수리 전 실내기·배관 점검	실내기 설치 위치와 배수 호스	413662	6a1bb056d00f3a0462ef6a462aa4f1b93dfef77a7ced974fc9dbd0fd05fef11a
20260701_115228(1).jpg	image	2. 냉동고 내부·적재 상태	내부 선반 및 적재 상태	607262	f80584170e298d1843aa3a357b0d230c8222fc54b7036219158fcd31187e42a8
20260701_115231(1).jpg	image	2. 냉동고 내부·적재 상태	실내기와 적재물 배치	481118	e37d49ccf9621c7d74f93c3f59d93c48f8ac619f088ecaa5a10906225b110a0a
20260701_115237(1).jpg	image	2. 냉동고 내부·적재 상태	냉동고 내부 전경	535441	19da7b25fb932a9053f5a0ff7dc8b8993ca9886ef430fac42d07d9276bcd41a4
20260701_115523(1).jpg	image	3. 제어반·수리 전 온도	FOX-S1004 표시온도 약 -3.4℃	459125	827773ae142292db92ea35f2c556bc28c6bfb74220fb97d6d81dc9192c28ee00
20260701_115535(1).jpg	image	3. 제어반·수리 전 온도	냉동고 출입문과 제어반 위치	447259	36d2ddbbffabd15f8d05da5d189049f7c976eb236836224b58535a9e0a94c4fe
20260701_115538(1).jpg	image	3. 제어반·수리 전 온도	FOX-S1004 표시온도 약 -3.9℃	478646	086bafceb1e42b649db4a39aebaa3a9aa8eec57ef05d7e5fb58c709c281b667d
20260701_210129(1).jpg	image	4. 실외기 분해·컴프레서 교체 작업	야간 실외기 점검과 서비스 게이지 연결	452910	22a50325bf2d60026127a705d2d81e93a347ab3a334d4e77c131b91d58c2db97
20260702_095715(1).jpg	image	4. 실외기 분해·컴프레서 교체 작업	실외기 하부 커버 개방 및 신규 컴프레서 장착	1076685	27ec111fe9604cf0bc8e1e1908383840190687335dd7102bd44a365c243bc24c
20260702_095718(1).jpg	image	4. 실외기 분해·컴프레서 교체 작업	실외기 작업부와 서비스 장비	1019287	da80ee98dc35cdcaf7275415af1926285629a819124f2edad1b427ebef92bec0
20260702_095720(1).jpg	image	4. 실외기 분해·컴프레서 교체 작업	신규 컴프레서·수액기·배관·배선	746372	bcefb63c46b79e0fa91ef562ae4f3becec27658052d959480ddafe351797c4e8
20260702_095723(1).jpg	image	4. 실외기 분해·컴프레서 교체 작업	R-22 냉매 용기와 매니폴드 게이지	976663	a795f3d4b1339f2fe8fbbe437735215d4d3593d83861e3e0b57ccd6a4ed6b2eb
20260702_095724(1).jpg	image	4. 실외기 분해·컴프레서 교체 작업	실외기 및 작업 현장 전경	1141775	28220a8f56582eac178a7827683d50be18ffc6a1eebb9f0abe9c7908ee4c6833
20260702_102139(1).jpg	image	4. 실외기 분해·컴프레서 교체 작업	신규 컴프레서와 압력계 근접 확인	565240	78e7330415390921ee206d334c51bf47ae6fd74817e4ed086d5be59d00134afe
20260702_102141(1).jpg	image	4. 실외기 분해·컴프레서 교체 작업	컴프레서·수액기·배관 조립 상태	680184	480795c6fad947e90854105b34a2c344fcf6d2f358de98f96f8563e92d23cbf2
20260702_102142(1).jpg	image	5. 신·구 컴프레서 비교	신규 컴프레서 장착 상태	706112	77f5cab06b0a03494c70d972a479149c9c9da94a700abc90b9541a888a2827fd
20260702_102148(1).jpg	image	5. 신·구 컴프레서 비교	신규 장착품과 탈거된 기존 컴프레서	883224	3a36b7817833110f78578cccd83ecc15ed1cfd5326f38bd7471034a775d2877c
20260702_102150(1).jpg	image	5. 신·구 컴프레서 비교	실외기 전경 및 탈거 컴프레서 비교	1067320	ad83307d994398e3768bdb76e9fc44ea1c7b5ef7ef323961d65ff663c9b04267
20260702_152103(1).jpg	image	6. 제어부 점검	분리된 디지털 표시 모듈의 세그먼트 상태	482747	ea74ab72348b8793c53dac110ce2e762470307514b1b05f237cadff710bf8d54
20260702_152247(1).jpg	image	6. 제어부 점검	제어함 내부 Legrand 24시간 기계식 타이머	394610	bca3602549440cfaf2343dd982f102ec7a9bec630d2845db3e86293092a5c2cd
20260702_161221(1).jpg	image	7. 조립 완료·명판·압력 확인	하부 커버 복구 후 실외기 전경	789379	437970e09d5186cde485d89d5d7b364ba428828af949e90bb43f733ecf9dc37b
20260702_161242(1).jpg	image	7. 조립 완료·명판·압력 확인	공랭식 응축기 사용 주의사항 명판	350069	97ac4dac6b8ad767f73e7f12a49702f8788cf77c4fb64e46da90c7959b1ced8a
20260702_161243(1).jpg	image	7. 조립 완료·명판·압력 확인	실외기 명판: DCM-050 / 2024년	350158	8954244f1d275d729a6b8e0e60a13a9088807e29f66e467d66747d90c81de83a
20260702_161246(1).jpg	image	7. 조립 완료·명판·압력 확인	동화윈 DCM-050 조립 완료 전면	669357	ce424a6ed014e56ebc84c98385d57fda9413cec520f3a55d53d64763c5beaa54
20260702_161250(1).jpg	image	7. 조립 완료·명판·압력 확인	실외기 고·저압 게이지 근접 기록	406006	918870f53e2d468f5c8d43106efc99ac46c32997e32b8faaaf77b72726c088e9
20260702_161226(1).jpg	image	8. 인접 별도 장비	인접 GS Inc 응축기 — 대상 4마력 냉동고 실외기와 구분	814066	08637cde8b2735cfbfa2ccd7d833e6dfe0429c5dafce82d247a7b7eddcf3cb5b
20260702_183849(1).jpg	image	9. 당일 시운전 온도	FOX-S1004 표시온도 -13.3℃	357512	645c36a06c796dc70fd4c65c29b7dfc9fa3aad81b18f4a57e3ce01530d725325
20260702_183851(1).jpg	image	9. 당일 시운전 온도	18시 38분경 표시온도 -13.3℃ 근접 기록	244119	293226d5849846227f2ce87259b805a986fced030017795b6fec7fc002ad25c2
20260702_102155(1).mp4	video-original	4. 실외기 분해·컴프레서 교체 작업	컴프레서 교체 작업 현장 6.9초 원본(HEVC)	9266717	2aa9eb06a7850a486ebb70f06f6bcbf15a6ceca31adf380270384f0459c198a2
20260702_102155_h264.mp4	video-h264	4. 실외기 분해·컴프레서 교체 작업	컴프레서 교체 작업 현장 6.9초 호환본(H.264)	7581798	34e9f38b2775f6b20bdc32aae102ab39e46e300e0f3dd8d7d15e839c5aaf98aa
20260702_102155_poster.jpg	video-poster	4. 실외기 분해·컴프레서 교체 작업	작업 영상 대표 화면	84008	568bbd0c4c2836f504bed66c7f0596080843b5ed64b7e517d1436fc1706615ef
